"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"a[1] RRp-POR",-1.3051641131508,-1.30185,-1.32740262897737,9726.1,0.95,-2.38778,-0.343496,NA,NA,NA,NA,NA,NA,NA
"a[2] Rsr2000",0.723899464860013,0.731222,0.720473035225061,9712.1,0.95,-0.554319,1.95909,NA,NA,NA,NA,NA,NA,NA
"a[3] SrvyUSA",-0.373207909863794,-0.379324,-0.50088173741345,11001,0.95,-1.50288,0.69285,NA,NA,NA,NA,NA,NA,NA
"a[4] YouGov",-0.80493128775035,-0.798703,-0.809419222954343,11001,0.95,-1.93348,0.354907,NA,NA,NA,NA,NA,NA,NA
"a[5] ZIn-JZA",-1.40450676107536,-1.38326,-1.35280519894509,9559.9,0.95,-2.69535,-0.0940323,NA,NA,NA,NA,NA,NA,NA
"ySigma",3.92528748113808,3.92308,3.95922549812943,8710,0.95,3.3389,4.50223,NA,NA,NA,NA,NA,NA,NA
"nuY",7.85353123897827,6.70521,5.6532611362167,2114.3,0.95,2.78483,15.1108,NA,NA,NA,NA,NA,NA,NA
"a0",-0.633640165759631,-0.63186,-0.614537190095314,9931.8,0.95,-2.50862,1.04832,NA,NA,NA,NA,NA,NA,NA
"aSigma",1.55326904065085,1.27034,0.963617781105753,5488.5,0.95,0.0528776,3.58305,NA,NA,NA,NA,NA,NA,NA
