"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"a[1] RRp-POR",-1.29644196367448,-1.29169,-1.2478610232836,10368.4,0.95,-2.27918,-0.273262,NA,NA,NA,NA,NA,NA,NA
"a[2] Rsr2000",0.710859370589556,0.710057,0.665774506084465,9391.6,0.95,-0.54924,1.95526,NA,NA,NA,NA,NA,NA,NA
"a[3] SrvyUSA",-0.380892691368357,-0.387454,-0.468806005209533,11001,0.95,-1.49278,0.738767,NA,NA,NA,NA,NA,NA,NA
"a[4] YouGov",-0.809456002477593,-0.801234,-0.797044420415828,10691.2,0.95,-1.97013,0.286259,NA,NA,NA,NA,NA,NA,NA
"a[5] ZIn-JZA",-1.39122596032306,-1.36643,-1.33839259757246,10201.9,0.95,-2.77303,-0.164894,NA,NA,NA,NA,NA,NA,NA
"ySigma",3.92938323697846,3.92345,3.86345769678484,9939.9,0.95,3.38032,4.53739,NA,NA,NA,NA,NA,NA,NA
"nuY",7.76415218980093,6.71109,5.53229782414135,6776.5,0.95,2.81725,15.2992,NA,NA,NA,NA,NA,NA,NA
"a0",-0.622784817612308,-0.636357,-0.68767753950719,11225.7,0.95,-2.45015,1.14827,NA,NA,NA,NA,NA,NA,NA
"aSigma",1.54584703767839,1.25339,0.987648409803537,4897.8,0.95,0.0796071,3.55554,NA,NA,NA,NA,NA,NA,NA
