"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0",3.10622685709462,3.10530155504635,3.10177586195696,17097.6,0.95,2.93440987474833,3.27929894843143,NA,NA,NA,NA,NA,NA,NA
"beta1",1.54500557128371,1.5447510705813,1.54226000357642,18653,0.95,1.49665245347521,1.59488685764202,0,100,-0.5,0.5,0,0,100
"sigma",2.54105300847997,2.54161968165082,2.55423278503545,9954.9,0.95,2.42969601837658,2.65397306098487,NA,NA,NA,NA,NA,NA,NA
"nu",52.9301705982951,45.201589527981,33.9554640569058,3185.6,0.95,13.5897498986636,113.239301188045,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",1.66485982389724,1.6551537070425,1.63486654994133,4496,0.95,1.24397602345076,2.09421280710105,NA,NA,NA,NA,NA,NA,NA
