"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0",-3.10531173772464,-3.10498096639926,-3.09898136893482,16134.9,0.95,-3.27941849499698,-2.9356197365922,NA,NA,NA,NA,NA,NA,NA
"beta1",-0.54496052105452,-0.545078182260116,-0.545111320755016,18272.9,0.95,-0.594597857529442,-0.495197047195908,0,0,-0.5,0.5,96.135,3.86499999999999,0
"sigma",2.54198918381567,2.54253811909087,2.54024126372056,9507.7,0.95,2.42429918321776,2.64996711010185,NA,NA,NA,NA,NA,NA,NA
"nu",53.3309321595812,45.4614057943343,31.5325331983886,4317.3,0.95,13.0994558646521,113.130387048367,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",1.66764454646787,1.65764286078527,1.63629929981506,5310.7,0.95,1.23912083424055,2.09939070158009,NA,NA,NA,NA,NA,NA,NA
