"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","yearLabels"
"yearLean[1]",-1.62642840068182,-1.627035,-1.62198316538756,3673.2,0.95,-2.47873,-0.808537,2000
"yearLean[2]",-2.28535137163636,-2.28835,-2.29875854994946,3002.1,0.95,-3.05595,-1.52159,2004
"yearLean[3]",-1.64088273645455,-1.647715,-1.75950983891225,3202.9,0.95,-2.37272,-0.916643,2008
"yearLean[4]",0.323155964695009,0.3315765,0.420676977077286,3576.1,0.95,-0.429364,1.12556,2012
"yearLean[5]",-3.88209482909091,-3.885455,-3.91169812934898,3904.1,0.95,-4.75828,-2.95584,2016
