"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"a[1] ABCN-WP",-1.55742279311818,-1.560465,-1.59387288631091,11000,0.95,-2.32803,-0.867628,NA,NA,NA,NA,NA,NA,NA
"a[2] AmrcnRG",-2.59413457909091,-2.594255,-2.58538992103865,11000,0.95,-3.1998,-1.98255,NA,NA,NA,NA,NA,NA,NA
"a[3] Gallup",-2.69423954363636,-2.69473,-2.61152446670019,10597.5,0.95,-3.53637,-1.90638,NA,NA,NA,NA,NA,NA,NA
"a[4] GrvsMrk",-2.13962596654545,-2.13947,-2.16488541089911,10410.9,0.95,-2.98942,-1.25173,NA,NA,NA,NA,NA,NA,NA
"a[5] HrrsI&A",-2.29596486909091,-2.29551,-2.28043425883549,11000,0.95,-2.75336,-1.79569,NA,NA,NA,NA,NA,NA,NA
"a[6] MrstCll",-2.86198848545455,-2.86118,-2.85549914076428,10392.6,0.95,-3.69466,-1.97483,NA,NA,NA,NA,NA,NA,NA
"a[7] Ms-DP&S",-5.60026497,-5.6036,-5.622264407174,9963.3,0.95,-6.16595,-5.00635,NA,NA,NA,NA,NA,NA,NA
"a[8] PblcPlP",-1.149336221,-1.150085,-1.16960303513111,11000,0.95,-1.60218,-0.723002,NA,NA,NA,NA,NA,NA,NA
"a[9] QnnpcUn",-4.10093230636364,-4.102125,-4.11957759564918,10390.4,0.95,-4.75112,-3.48149,NA,NA,NA,NA,NA,NA,NA
"a[10] RRp-POR",-1.76570018127273,-1.765195,-1.75564055152579,10512.2,0.95,-2.18404,-1.36652,NA,NA,NA,NA,NA,NA,NA
"a[11] Rsr2000",-4.38944206363636,-4.392655,-4.4091805904976,10622.6,0.95,-5.00805,-3.82125,NA,NA,NA,NA,NA,NA,NA
"a[12] SrvyMnk",-6.50677885363636,-6.50437,-6.50300499667016,11000,0.95,-6.91283,-6.12348,NA,NA,NA,NA,NA,NA,NA
"a[13] SrvyUSA",-2.47175212454545,-2.47295,-2.49366130602803,11000,0.95,-2.81163,-2.13427,NA,NA,NA,NA,NA,NA,NA
"a[14] StrVLLC",-1.50803359591309,-1.51126,-1.54035065802231,8443.1,0.95,-2.42276,-0.527726,NA,NA,NA,NA,NA,NA,NA
"a[15] TCJRsrc",1.01530357304327,1.00133,1.03897566039688,5776.3,0.95,-0.266135,2.26013,NA,NA,NA,NA,NA,NA,NA
"a[16] YouGov",-2.99903100272727,-2.996455,-2.98764830601227,11000,0.95,-3.43392,-2.53671,NA,NA,NA,NA,NA,NA,NA
"a[17] ZIn-JZA",-3.19099072454545,-3.188955,-3.16797953623924,11339.9,0.95,-3.56652,-2.83381,NA,NA,NA,NA,NA,NA,NA
"aMet[1] ABCN-WP",-0.867569725654545,-0.8669655,-0.867644957307338,11000,0.95,-1.3095,-0.426515,NA,NA,NA,NA,NA,NA,NA
"aMet[2] AmrcnRG",-0.623965602909091,-0.6238275,-0.629344225118819,11000,0.95,-0.862923,-0.391735,NA,NA,NA,NA,NA,NA,NA
"aMet[3] Gallup",-0.727423394363636,-0.72807,-0.737155750298403,10560.4,0.95,-0.940694,-0.50654,NA,NA,NA,NA,NA,NA,NA
"aMet[4] GrvsMrk",-0.356328209455455,-0.353212,-0.337804455220202,10692.9,0.95,-0.652506,-0.0606125,NA,NA,NA,NA,NA,NA,NA
"aMet[5] HrrsI&A",-0.664150424181818,-0.664886,-0.683406758213531,11000,0.95,-0.851458,-0.484332,NA,NA,NA,NA,NA,NA,NA
"aMet[6] MrstCll",-0.608426336318182,-0.6020025,-0.570390293391239,11106.2,0.95,-0.914345,-0.301464,NA,NA,NA,NA,NA,NA,NA
"aMet[7] Ms-DP&S",-0.766507885,-0.7666495,-0.768012408180628,9570.8,0.95,-0.897341,-0.632613,NA,NA,NA,NA,NA,NA,NA
"aMet[8] PblcPlP",-0.866857523363636,-0.8672035,-0.879218218917932,11000,0.95,-1.06314,-0.654935,NA,NA,NA,NA,NA,NA,NA
"aMet[9] QnnpcUn",-0.550445233545454,-0.550239,-0.534403433435396,11000,0.95,-0.735929,-0.369198,NA,NA,NA,NA,NA,NA,NA
"aMet[10] RRp-POR",-0.218862639036364,-0.2184405,-0.206705228439319,10503.4,0.95,-0.309184,-0.128369,NA,NA,NA,NA,NA,NA,NA
"aMet[11] Rsr2000",-0.481371525445455,-0.480669,-0.480885344695479,11000,0.95,-0.687359,-0.269268,NA,NA,NA,NA,NA,NA,NA
"aMet[12] SrvyMnk",-0.697401613545454,-0.6973765,-0.694755424797344,11000,0.95,-0.816203,-0.57676,NA,NA,NA,NA,NA,NA,NA
"aMet[13] SrvyUSA",-0.764043098727273,-0.7633415,-0.756997426663346,11000,0.95,-0.88645,-0.638212,NA,NA,NA,NA,NA,NA,NA
"aMet[14] StrVLLC",-0.00623199894753636,-0.003200505,0.000341930099030607,8407.6,0.95,-0.262492,0.243937,NA,NA,NA,NA,NA,NA,NA
"aMet[15] TCJRsrc",-0.50872271851,-0.5114555,-0.509822506751543,4724.4,0.95,-0.833742,-0.17535,NA,NA,NA,NA,NA,NA,NA
"aMet[16] YouGov",-0.775259226090909,-0.773924,-0.763309574340539,11000,0.95,-0.918026,-0.638838,NA,NA,NA,NA,NA,NA,NA
"aMet[17] ZIn-JZA",-0.397402822545455,-0.3975745,-0.407000296723685,11000,0.95,-0.495897,-0.298315,NA,NA,NA,NA,NA,NA,NA
"aSigma",3.46860893727273,3.38595,3.18233548846112,10692.3,0.95,2.32958,4.74262,NA,NA,NA,NA,NA,NA,NA
"ySigma",1.68836503,1.688,1.69140695903776,9905.3,0.95,1.56605,1.80346,NA,NA,NA,NA,NA,NA,NA
"nu",5.55261975,5.42779,5.29512281246159,9452.8,0.95,3.9528,7.41748,NA,NA,NA,NA,NA,NA,NA
