"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0",0.553698892545937,0.55356140671854,0.546865982162573,19102.4,0.95,0.302870590015641,0.782277927883589,NA,NA,NA,NA,NA,NA,NA
"beta1",-0.373685190339932,-0.373654668270655,-0.373640088621307,17942.5,0.95,-0.403133738371704,-0.342674032348486,0,0,-0.5,0.5,0,100,0
"sigma",2.37918494883628,2.37952968362044,2.38159913265329,4794.8,0.95,2.24234907290735,2.51049524678152,NA,NA,NA,NA,NA,NA,NA
"nu",21.3771729572552,18.2604610915385,15.0289428230022,2379.2,0.95,7.76102215907582,42.4683300098869,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",1.28584466867136,1.2615117396158,1.21020884096739,3110.3,0.95,0.966759963762994,1.67453495688425,NA,NA,NA,NA,NA,NA,NA
