"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh"
"mu[185] NA",45.9731125727273,45.9747,45.9769094750776,7387.5,0.95,45.9544,45.9902
"mu[186] NA",41.7250162181818,41.54185,41.4369595600376,9858.3,0.95,37.7779,45.694
"mu[187] NA",43.9958513727273,44.0309,44.1475542260014,3181.5,0.95,43.0333,44.9198
"mu[188] NA",38,38,37.968778919892,0,0.95,38,38
"mu[189] NA",45.5376960545455,45.206,44.7685362956006,5378.1,0.95,42.7366,49.1123
"mu[190] NA",52.3416051454545,52.38925,52.4814837947274,3639.1,0.95,51.522,53.048
"mu[191] NA",47.5363038,47.54905,47.5790513820218,5285.5,0.95,46.7732,48.2938
"mu[192] NA",44.6804359181818,44.6739,44.6565127171103,3665.8,0.95,44.5496,44.8103
"mu[193] NA",53.1556479272727,53.1527,53.1606769860259,5987.1,0.95,53.0301,53.278
"mu[194] NA",44.9883145,45.0119,45.0921132398988,3223.1,0.95,44.5297,45.4274
"mu[195] NA",37.1356842545455,37.1277,37.1184740004705,7903.9,0.95,37.063,37.2283
"mu[196] NA",49,49,48.959741238808,0,0.95,49,49
"mu[197] NA",47.9779525909091,47.9999,48.0998395169825,3057.5,0.95,47.1231,48.8234
"mu[198] NA",46.4585770818182,46.45475,46.4198118494842,3458.1,0.95,46.1493,46.7782
"mu[199] NA",38.5747845272727,38.6045,38.6350023078283,7822.3,0.95,38.3719,38.7118
"mu[200] NA",24.7158780818182,24.7124,24.7021733695048,3866.2,0.95,24.601,24.8451
"mu[201] NA",44.4748631727273,44.49645,44.514131939557,3388.3,0.95,44.1349,44.773
"mu[202] NA",46.0120064727273,46.0126,46.0112115059962,3073.2,0.95,45.9021,46.1122
"mu[203] NA",45.9291669090909,45.9338,45.921457341683,4173.8,0.95,45.4934,46.3793
"mu[204] NA",44.2386553272727,44.2216,44.1894498905227,3832.2,0.95,43.9613,44.5514
"mu[205] NA",58.1558761818182,58.1373,58.1276345642263,5151.6,0.95,57.3917,58.9347
"mu[206] NA",50.3128251,50.3,50.2903692675155,4252.4,0.95,50.2078,50.4562
