"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"a1[5,3] HrrsI&A 2008",-0.160811362357,-0.1506585,-0.100249594935873,10583.6,0.95,-2.7058,2.40876,NA,NA,NA,NA,NA,NA,NA
"a1[6,3] MrstCll 2008",0.348647013316455,0.3486235,0.344546680124891,10074,0.95,-1.63246,2.33426,NA,NA,NA,NA,NA,NA,NA
"a1[7,3] Ms-DP&S 2008",-0.692761311765182,-0.6985265,-0.770035125932635,9363,0.95,-2.39162,0.902425,NA,NA,NA,NA,NA,NA,NA
"a1[8,3] PblcPlP 2008",0.690420217657273,0.6925055,0.763558729167375,8765.1,0.95,-0.98634,2.26387,NA,NA,NA,NA,NA,NA,NA
"a1[9,3] QnnpcUn 2008",1.80615801827355,1.79963,1.79059546726461,9088,0.95,-0.332763,3.83068,NA,NA,NA,NA,NA,NA,NA
"a1[10,3] RRp-POR 2008",-1.18094666154327,-1.19062,-1.29376404349296,7785.5,0.95,-2.4394,0.118903,NA,NA,NA,NA,NA,NA,NA
"a1[11,3] Rsr2000 2008",1.19328136783627,1.197435,1.21712722964956,7821,0.95,-0.109027,2.5772,NA,NA,NA,NA,NA,NA,NA
"a1[12,3] SrvyMnk 2008",-0.0131221545449818,-0.001427005,0.143868988035627,11000,0.95,-3.43318,3.28804,NA,NA,NA,NA,NA,NA,NA
"a1[13,3] SrvyUSA 2008",-0.0934647019510727,-0.09230915,-0.123580355465326,7689.5,0.95,-1.52787,1.26214,NA,NA,NA,NA,NA,NA,NA
"a1[14,3] StrVLLC 2008",-2.15762796195455,-2.15277,-2.04069810528449,9472.4,0.95,-4.06219,-0.464367,NA,NA,NA,NA,NA,NA,NA
"a1[15,3] TCJRsrc 2008",-0.000375423534363637,0.001952465,0.0882071168005076,11000,0.95,-3.52373,3.14947,NA,NA,NA,NA,NA,NA,NA
"a1[16,3] YouGov 2008",-0.582312376876636,-0.583714,-0.506248032422362,7707.3,0.95,-1.95401,0.882667,NA,NA,NA,NA,NA,NA,NA
"a1[17,3] ZIn-JZA 2008",-1.24220882502918,-1.2375,-1.14361854749354,7870.8,0.95,-2.7052,0.272715,NA,NA,NA,NA,NA,NA,NA
"a1[1,4] ABCN-WP 2012",0.0211774019095818,0.00951694,-0.22474365750159,10548.6,0.95,-2.41583,2.28737,NA,NA,NA,NA,NA,NA,NA
"a1[2,4] AmrcnRG 2012",-1.56806561767291,-1.564675,-1.43263374223225,9988.5,0.95,-3.6866,0.447666,NA,NA,NA,NA,NA,NA,NA
"a1[3,4] Gallup 2012",-1.55427317976536,-1.551915,-1.7079560920144,11000,0.95,-4.3016,1.24857,NA,NA,NA,NA,NA,NA,NA
"a1[4,4] GrvsMrk 2012",-0.46217686012114,-0.465008,-0.386331241377913,8599.5,0.95,-2.1923,1.2521,NA,NA,NA,NA,NA,NA,NA
"a1[5,4] HrrsI&A 2012",0.0129445865591818,0.0224226,-0.0608926703363935,11000,0.95,-3.36239,3.35402,NA,NA,NA,NA,NA,NA,NA
"a1[6,4] MrstCll 2012",0.819307488894,0.808775,0.629705544885892,9575.3,0.95,-1.18262,2.78758,NA,NA,NA,NA,NA,NA,NA
"a1[7,4] Ms-DP&S 2012",-0.498942983840818,-0.4985,-0.405943191370428,10441.9,0.95,-3.01464,1.84828,NA,NA,NA,NA,NA,NA,NA
"a1[8,4] PblcPlP 2012",0.808309275443145,0.813746,0.953215435516675,7179.2,0.95,-0.527521,2.23993,NA,NA,NA,NA,NA,NA,NA
"a1[9,4] QnnpcUn 2012",1.26472606147227,1.26636,1.27646917238846,10636.4,0.95,-1.16944,3.6602,NA,NA,NA,NA,NA,NA,NA
"a1[10,4] RRp-POR 2012",-1.29486125755009,-1.292425,-1.1127938081576,7766,0.95,-2.63867,0.195103,NA,NA,NA,NA,NA,NA,NA
"a1[11,4] Rsr2000 2012",0.0133372262066364,0.01245635,-0.0922815319270143,11686.5,0.95,-3.33406,3.22688,NA,NA,NA,NA,NA,NA,NA
"a1[12,4] SrvyMnk 2012",0.00133603848936364,0.00189386,0.151844772201737,11422.4,0.95,-3.46256,3.28276,NA,NA,NA,NA,NA,NA,NA
"a1[13,4] SrvyUSA 2012",1.38143869146117,1.39079,1.55193511518542,9061.6,0.95,-0.343614,3.17765,NA,NA,NA,NA,NA,NA,NA
"a1[14,4] StrVLLC 2012",-0.0198347518948545,-0.002711435,-0.0127327935403185,11000,0.95,-3.3661,3.31471,NA,NA,NA,NA,NA,NA,NA
"a1[15,4] TCJRsrc 2012",-3.31526486709091,-3.308355,-3.26448139252737,7625.2,0.95,-4.77616,-1.81138,NA,NA,NA,NA,NA,NA,NA
"a1[16,4] YouGov 2012",0.793148341453182,0.789211,0.739855306114484,8276.9,0.95,-0.72129,2.29125,NA,NA,NA,NA,NA,NA,NA
"a1[17,4] ZIn-JZA 2012",0.890860954142091,0.876608,0.906047068989962,9816.4,0.95,-1.18332,2.83663,NA,NA,NA,NA,NA,NA,NA
"a1[1,5] ABCN-WP 2016",-0.875292224376536,-0.857477,-0.769737244525455,10541.7,0.95,-3.2774,1.50523,NA,NA,NA,NA,NA,NA,NA
"a1[2,5] AmrcnRG 2016",-0.566214952827864,-0.558243,-0.707959407250152,11000,0.95,-3.72989,2.41149,NA,NA,NA,NA,NA,NA,NA
"a1[3,5] Gallup 2016",0.00371208778618182,0.002580205,-0.0949148157559314,11000,0.95,-3.24699,3.38713,NA,NA,NA,NA,NA,NA,NA
"a1[4,5] GrvsMrk 2016",-0.9155882334088,-0.9108055,-0.908252723540423,8791.2,0.95,-2.57058,0.728257,NA,NA,NA,NA,NA,NA,NA
"a1[5,5] HrrsI&A 2016",0.00831309352218182,0.02097035,-0.0351256292180242,11338.8,0.95,-3.37171,3.36683,NA,NA,NA,NA,NA,NA,NA
"a1[6,5] MrstCll 2016",-0.528247670471173,-0.5213655,-0.568646351601565,10124.1,0.95,-2.9023,1.75195,NA,NA,NA,NA,NA,NA,NA
"a1[7,5] Ms-DP&S 2016",1.62737841577482,1.596805,1.48963756848171,11000,0.95,-1.36103,4.5695,NA,NA,NA,NA,NA,NA,NA
"a1[8,5] PblcPlP 2016",1.35719384121555,1.355045,1.30580649343743,10058.4,0.95,-0.650928,3.31785,NA,NA,NA,NA,NA,NA,NA
"a1[9,5] QnnpcUn 2016",1.78570803948755,1.784085,1.79588955373085,10085.8,0.95,-0.238761,3.77163,NA,NA,NA,NA,NA,NA,NA
"a1[10,5] RRp-POR 2016",0.649207900612125,0.655126,0.681163228133506,8963.7,0.95,-1.05416,2.4079,NA,NA,NA,NA,NA,NA,NA
"a1[11,5] Rsr2000 2016",0.00163737738045455,0.00499377,-0.021632076160226,11000,0.95,-3.42166,3.33434,NA,NA,NA,NA,NA,NA,NA
"a1[12,5] SrvyMnk 2016",1.72379752963028,1.721,1.5730678762811,7976,0.95,0.343823,3.15428,NA,NA,NA,NA,NA,NA,NA
